stage,model_dim,inter_dim,expert,topk,tile_m,tile_n,tile_k,waves_per_eu,out_dtype,smooth_scale,wide_out,arch,co_name,kernel_name,kernarg_size,lds_bytes,workgroup_size,vgpr_count,sgpr_count
1,6144,2048,16,8,32,64,128,2,bf16,0,0,gfx942,moe_blk_stage1_bf16_d6144x2048_e16k8_t32x64x128_w2.co,moe_gemm1_0,100,14336,256,122,66
1,6144,2048,16,8,32,64,128,2,bf16,1,0,gfx942,moe_blk_stage1_bf16_d6144x2048_e16k8_t32x64x128_w2_smooth.co,moe_gemm1_0,100,14336,256,124,70
2,6144,2048,16,8,32,128,128,2,bf16,0,0,gfx942,moe_blk_stage2_bf16_d6144x2048_e16k8_t32x128x128_w2.co,moe_gemm2_0,88,10240,256,120,66
2,6144,2048,16,8,16,256,256,2,bf16,0,0,gfx942,moe_blk_stage2_bf16_d6144x2048_e16k8_t16x256x256_w2.co,moe_gemm2_0,88,9216,256,210,66
1,6144,2048,16,8,32,128,128,2,bf16,0,0,gfx942,moe_blk_stage1_bf16_d6144x2048_e16k8_t32x128x128_w2.co,moe_gemm1_0,100,14336,512,124,62
1,6144,2048,16,8,32,128,128,2,bf16,1,0,gfx942,moe_blk_stage1_bf16_d6144x2048_e16k8_t32x128x128_w2_smooth.co,moe_gemm1_0,100,14336,512,126,66
2,6144,2048,16,8,32,256,256,2,bf16,0,0,gfx942,moe_blk_stage2_bf16_d6144x2048_e16k8_t32x256x256_w2.co,moe_gemm2_0,88,18432,256,256,69
1,6144,256,257,9,16,64,128,2,bf16,0,0,gfx942,moe_blk_stage1_bf16_d6144x256_e257k9_t16x64x128_w2.co,moe_gemm1_0,100,7168,256,98,62
1,6144,256,257,9,16,64,128,2,bf16,1,0,gfx942,moe_blk_stage1_bf16_d6144x256_e257k9_t16x64x128_w2_smooth.co,moe_gemm1_0,100,7168,256,96,66
2,6144,256,257,9,16,256,128,2,bf16,0,0,gfx942,moe_blk_stage2_bf16_d6144x256_e257k9_t16x256x128_w2.co,moe_gemm2_0,88,8320,256,96,50
1,6144,256,257,9,32,64,128,2,bf16,0,0,gfx942,moe_blk_stage1_bf16_d6144x256_e257k9_t32x64x128_w2.co,moe_gemm1_0,100,14336,256,126,66
1,6144,256,257,9,32,64,128,2,bf16,1,0,gfx942,moe_blk_stage1_bf16_d6144x256_e257k9_t32x64x128_w2_smooth.co,moe_gemm1_0,100,14336,256,128,70
2,6144,256,257,9,32,256,128,2,bf16,0,0,gfx942,moe_blk_stage2_bf16_d6144x256_e257k9_t32x256x128_w2.co,moe_gemm2_0,88,16640,256,126,52
1,6144,256,257,9,16,128,128,2,bf16,0,0,gfx942,moe_blk_stage1_bf16_d6144x256_e257k9_t16x128x128_w2.co,moe_gemm1_0,100,7168,256,150,62
1,6144,256,257,9,16,128,128,2,bf16,1,0,gfx942,moe_blk_stage1_bf16_d6144x256_e257k9_t16x128x128_w2_smooth.co,moe_gemm1_0,100,7168,256,150,66
1,6144,256,257,9,32,128,128,2,bf16,0,0,gfx942,moe_blk_stage1_bf16_d6144x256_e257k9_t32x128x128_w2.co,moe_gemm1_0,100,14336,512,126,62
1,6144,256,257,9,32,128,128,2,bf16,1,0,gfx942,moe_blk_stage1_bf16_d6144x256_e257k9_t32x128x128_w2_smooth.co,moe_gemm1_0,100,14336,512,124,66
1,6144,2048,17,9,16,128,128,2,bf16,0,0,gfx942,moe_blk_stage1_bf16_d6144x2048_e17k9_t16x128x128_w2.co,moe_gemm1_0,100,7168,256,150,62
1,6144,2048,17,9,16,128,128,2,bf16,1,0,gfx942,moe_blk_stage1_bf16_d6144x2048_e17k9_t16x128x128_w2_smooth.co,moe_gemm1_0,100,7168,256,150,66
2,6144,2048,17,9,16,128,128,2,bf16,0,0,gfx942,moe_blk_stage2_bf16_d6144x2048_e17k9_t16x128x128_w2.co,moe_gemm2_0,88,5120,256,92,66
1,6144,2048,17,9,16,64,128,2,bf16,0,0,gfx942,moe_blk_stage1_bf16_d6144x2048_e17k9_t16x64x128_w2.co,moe_gemm1_0,100,7168,256,92,62
1,6144,2048,17,9,16,64,128,2,bf16,1,0,gfx942,moe_blk_stage1_bf16_d6144x2048_e17k9_t16x64x128_w2_smooth.co,moe_gemm1_0,100,7168,256,94,66
2,6144,2048,17,9,16,256,128,2,bf16,0,0,gfx942,moe_blk_stage2_bf16_d6144x2048_e17k9_t16x256x128_w2.co,moe_gemm2_0,88,9216,256,144,66
1,6144,2048,17,9,64,64,128,2,bf16,0,0,gfx942,moe_blk_stage1_bf16_d6144x2048_e17k9_t64x64x128_w2.co,moe_gemm1_0,100,16384,256,224,86
1,6144,2048,17,9,64,64,128,2,bf16,1,0,gfx942,moe_blk_stage1_bf16_d6144x2048_e17k9_t64x64x128_w2_smooth.co,moe_gemm1_0,100,16384,256,226,86
2,6144,2048,17,9,64,128,128,2,bf16,0,0,gfx942,moe_blk_stage2_bf16_d6144x2048_e17k9_t64x128x128_w2.co,moe_gemm2_0,88,20480,256,170,70
1,6144,2048,17,9,32,64,128,2,bf16,0,0,gfx942,moe_blk_stage1_bf16_d6144x2048_e17k9_t32x64x128_w2.co,moe_gemm1_0,100,14336,256,126,66
1,6144,2048,17,9,32,64,128,2,bf16,1,0,gfx942,moe_blk_stage1_bf16_d6144x2048_e17k9_t32x64x128_w2_smooth.co,moe_gemm1_0,100,14336,256,128,70
2,6144,2048,17,9,32,128,128,2,bf16,0,0,gfx942,moe_blk_stage2_bf16_d6144x2048_e17k9_t32x128x128_w2.co,moe_gemm2_0,88,10240,256,120,66
2,6144,2048,17,9,16,256,256,2,bf16,0,0,gfx942,moe_blk_stage2_bf16_d6144x2048_e17k9_t16x256x256_w2.co,moe_gemm2_0,88,9216,256,210,66
1,6144,2048,17,9,32,128,128,2,bf16,0,0,gfx942,moe_blk_stage1_bf16_d6144x2048_e17k9_t32x128x128_w2.co,moe_gemm1_0,100,14336,512,124,62
1,6144,2048,17,9,32,128,128,2,bf16,1,0,gfx942,moe_blk_stage1_bf16_d6144x2048_e17k9_t32x128x128_w2_smooth.co,moe_gemm1_0,100,14336,512,126,66
2,6144,2048,17,9,32,256,256,2,bf16,0,0,gfx942,moe_blk_stage2_bf16_d6144x2048_e17k9_t32x256x256_w2.co,moe_gemm2_0,88,18432,256,256,69
1,6144,256,256,8,32,128,128,2,bf16,0,1,gfx942,moe_blk_stage1_bf16_d6144x256_e256k8_t32x128x128_w2_wide.co,moe_gemm1_0,100,14336,512,126,62
1,6144,256,256,8,32,128,128,2,bf16,1,1,gfx942,moe_blk_stage1_bf16_d6144x256_e256k8_t32x128x128_w2_smooth_wide.co,moe_gemm1_0,100,14336,512,126,66
1,6144,2048,16,8,32,128,128,2,bf16,0,1,gfx942,moe_blk_stage1_bf16_d6144x2048_e16k8_t32x128x128_w2_wide.co,moe_gemm1_0,100,14336,512,126,62
1,6144,2048,16,8,32,128,128,2,bf16,1,1,gfx942,moe_blk_stage1_bf16_d6144x2048_e16k8_t32x128x128_w2_smooth_wide.co,moe_gemm1_0,100,14336,512,126,66
1,6144,256,257,9,32,128,128,2,bf16,0,1,gfx942,moe_blk_stage1_bf16_d6144x256_e257k9_t32x128x128_w2_wide.co,moe_gemm1_0,100,14336,512,128,62
1,6144,256,257,9,32,128,128,2,bf16,1,1,gfx942,moe_blk_stage1_bf16_d6144x256_e257k9_t32x128x128_w2_smooth_wide.co,moe_gemm1_0,100,14336,512,124,66
1,6144,2048,17,9,32,128,128,2,bf16,0,1,gfx942,moe_blk_stage1_bf16_d6144x2048_e17k9_t32x128x128_w2_wide.co,moe_gemm1_0,100,14336,512,126,62
1,6144,2048,17,9,32,128,128,2,bf16,1,1,gfx942,moe_blk_stage1_bf16_d6144x2048_e17k9_t32x128x128_w2_smooth_wide.co,moe_gemm1_0,100,14336,512,126,66
